역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
154,동암역,k0301,경인선,Dongam,銅 岩,일반역,,,37.470835,126.703016,한국철도공사,인천시 부평구 동암광장로 10,1544-7788,2020-12-31
155,간석역,k0301,경인선,Ganseok,間 石,일반역,,,37.464689,126.693408,한국철도공사,인천시 남동구 석정로 522-14,1544-7788,2020-12-31
156,주안역,k0301,경인선,Juan,朱 安,환승역,,경인/인천2,37.465041,126.680702,한국철도공사,인천시 남구 주안로 95-19,1544-7788,2020-12-31
157,도화역,k0301,경인선,Dohwa,道 禾,일반역,,,37.466154,126.66846,한국철도공사,인천시 남구 숙골로 24번길 9,1544-7788,2020-12-31
148,명학역,k0201,경부선,Myeonghak,鳴 鶴,일반역,,,37.384435,126.935579,한국철도공사,경기도 안양시 만안구 만안로 20,1544-7788,2020-12-31
158,제물포역,k0301,경인선,Jemulpo,濟物浦,일반역,,,37.466809,126.657165,한국철도공사,인천시 남구 경인로 129,1544-7788,2020-12-31
159,도원역,k0301,경인선,Dowon,桃 源,일반역,,,37.468604,126.642824,한국철도공사,인천시 동구 참외전로 245,1544-7788,2020-12-31
160,동인천역,k0301,경인선,Dongincheon,東仁川,일반역,,,37.475414,126.632598,한국철도공사,인천시 중구 참외전로 119,1544-7788,2020-12-31
161,인천역,k0301,경인선,Incheon,仁 川,환승역,k0301+k2015,경인/수인,37.476364,126.616936,한국철도공사,인천시 중구 제물량로 269,1544-7788,2020-12-31
435,선바위역,k0303,과천선,Seonbawi,,일반역,,,37.451854,127.002164,한국철도공사,경기도 과천시 중앙로 440,1544-7788,2020-12-31
436,경마공원역,k0303,과천선,Seoul Racecourse park,競 馬公 園,일반역,,,37.443987,127.007899,한국철도공사,경기도 과천시 경마공원대로 105,1544-7788,2020-12-31
437,대공원역,k0303,과천선,Seoul Grand park,大公園,일반역,,,37.435724,127.006474,한국철도공사,경기도 과천시 대공원로 50,1544-7788,2020-12-31
438,과천역,k0303,과천선,Gwacheon,果 川,일반역,,,37.433205,126.996404,한국철도공사,경기도 과천시 별양로 지하 177,1544-7788,2020-12-31
439,정부과천청사역,k0303,과천선,Government Complex Gwacheon,政府果川廳舍,일반역,,,37.426445,126.989802,한국철도공사,경기도 과천시 중앙로 지하 100,1544-7788,2020-12-31
417,이천역,k0218,경강선,Icheon,利川,일반역,,,37.264222,127.442135,한국철도공사,경기도 이천시 율현동 435,1544-7788,2020-12-31
418,부발역,k0218,경강선,Bubal,夫鉢,일반역,,,37.260411,127.490303,한국철도공사,경기도 이천시 부발읍 아미리 505-7,1544-7788,2020-12-31
419,세종대왕릉역,k0218,경강선,Sejongdaewangneung,世宗大王陵,일반역,,,37.293636,127.570764,한국철도공사,경기도 여주시 능서면 신지리 275,1544-7788,2020-12-31
420,여주역,k0218,경강선,Yeoju,驪州,일반역,,,37.282881,127.628571,한국철도공사,경기도 여주시 교동 403-1,1544-7788,2020-12-31
166,성환역,k0201,경부선,Seonghwan,成 歡,일반역,,,36.915781,127.127007,한국철도공사,충남 천안시 서북구 성환읍 성롼1로 237-5(성환리 449-128),1544-7788,2020-12-31
167,직산역,k0201,경부선,Jiksan,稷 山,일반역,,,36.870921,127.143774,한국철도공사,충남 천안시 서북구 직산읍 천안대로 1471-33,1544-7788,2020-12-31
168,두정역,k0201,경부선,Dujeong,斗 井,일반역,,,36.833791,127.148905,한국철도공사,충남 천안시 서북구 두정로 289(두정동 84-1),1544-7788,2020-12-31
169,천안역,k0201,경부선,Cheonan,天 安,일반역,,,36.810238,127.146417,한국철도공사,충남 천안시 동남구 대흥로 239(대흥동 57-1),1544-7788,2020-12-31
170,봉명역,k0208,장항선,Bongmyeong,鳳鳴,일반역,,,36.801578,127.136319,한국철도공사,충남 천안시 동남구 차돌로 51(봉명동 20-2),1544-7788,2020-12-31
171,쌍용(나사렛대)역,k0208,장항선,Ssangyong(Korea Nazarene Univ.),雙龍(拿撒勒大),일반역,,,36.793745,127.121363,한국철도공사,충청남도 천안시 서북구 쌍용2동 426-3,1544-7788,2020-12-31
172,아산역,k0208,장항선,Asan,牙 山,일반역,,,36.792195,127.105049,한국철도공사,충남 아산시 배방읍 희망로 90(장재리 325-3),1544-7788,2020-12-31
174,배방역,k0208,장항선,Baebang,排 芳,일반역,,,36.777541,127.052751,한국철도공사,충남 아산시 배방읍 온천대로 1967,1544-7788,2020-12-31
176,온양온천역,k0208,장항선,Onyangoncheon,溫陽溫泉,일반역,,,36.780419,127.003707,한국철도공사,충남 아산시 온천대로 1496(온천동 56-9),1544-7788,2020-12-31
177,신창(순천향대)역,k0208,장항선,Sinchang (Soonchunhyang Univ.),신 창,일반역,,,36.769213,126.950129,한국철도공사,충남 아산시 신창면 행목로 50,1544-7788,2020-12-31
410,부전역,k0211,동해선,Bujeon,釜 田,일반역,,,35.164668,129.06011,한국철도공사,부산광역시 부산진구 부전동 280-76,1544-7788,2020-12-31
411,거제해맞이역,k0211,동해선,Geojehaemaji,巨堤해맞이,환승역,,부산지하철3호선,35.182197,129.069315,한국철도공사,부산광역시 연제구 거제동 619-1,1544-7788,2020-12-31
412,거제역,k0211,동해선,Geoje,巨 堤,일반역,,,35.188587,129.073904,한국철도공사,부산광역시 연제구 거제동 619-1,1544-7788,2020-12-31
413,교대역,k0211,동해선,Busan Nat’l Univ. of Edu,敎 大,환승역,,부산지하철1호선,37.492975,127.013814,한국철도공사,부산광역시 연제구 거제동 42-3,1544-7788,2020-12-31
414,동래역,k0211,동해선,Dongnae,東 萊,일반역,,,35.205614,129.078502,한국철도공사,부산광역시 동래구 낙민동 130-4,1544-7788,2020-12-31
